Bairro;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL;;;;
Se;0,0;0,1;0,0;0,0;0,0;0,0;0,0;1,6;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,7;9,7;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,6;;;;
Butanta;0,0;0,0;0,0;0,0;0,0;0,2;0,0;1,1;1,2;0,0;0,2;0,0;0,0;0,0;0,8;0,0;13,6;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;;;;
Lapa;0,0;0,1;0,0;0,0;0,0;0,0;0,0;1,3;2,8;0,0;0,0;0,0;0,7;0,0;0,5;0,0;10,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,2;;;;
Pinheiros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;3,3;0,0;0,0;0,0;0,0;0,0;0,9;0,0;12,8;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,5;;;;
M Boi Mirim;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,8;1,0;0,0;0,4;0,0;0,0;0,0;5,3;0,5;13,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;27,5;;;;
Campo Limpo;0,0;0,0;0,0;0,0;0,0;2,6;0,0;1,1;1,2;0,0;0,3;0,0;0,0;0,0;1,5;0,2;12,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,1;;;;
Capela do Socorro;0,0;0,0;0,0;0,0;0,0;6,3;0,0;2,5;2,0;0,0;0,2;0,0;0,0;0,0;19,3;0,6;18,2;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;51,1;;;;
Ipiranga;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;0,7;0,0;0,1;0,0;0,0;0,0;6,0;2,4;8,9;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,1;;;;
Jabaquara;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,7;0,9;0,0;0,3;0,0;0,0;0,0;9,5;0,2;13,4;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,2;;;;
Santo Amaro;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,9;1,1;0,0;0,3;0,0;0,0;0,0;4,0;0,2;12,4;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,4;;;;
